Designator,Mid X,Mid Y,Rotation,Layer
B1,90.675,-15.5,0.0,top
BT1,27.425,-6.3,0.0,bottom
C1,20.155,-38.58,180.0,top
C10,33.975,-68.725,0.0,top
C11,112.5,-18.78,270.0,top
C12,82.0,-16.0,90.0,top
C13,45.06,-13.82,0.0,top
C14,40.9,-13.82,180.0,top
C16,20.38,-10.42,180.0,top
C17,28.32,-22.24,0.0,top
C18,37.65,-20.62,0.0,top
C19,66.94,-1.37,0.0,top
C2,33.04,-37.26,0.0,top
C20,33.58,-15.52,180.0,top
C21,28.34,-17.22,0.0,top
C22,28.34,-15.52,0.0,top
C23,28.32,-20.54,0.0,top
C25,28.32,-18.84,0.0,top
C3,20.155,-40.28,180.0,top
C4,20.15,-41.96,180.0,top
C5,71.025,-32.72,0.0,top
C6,47.0,-22.75,270.0,top
C7,40.0,-25.55,0.0,top
C8,90.05,-25.55,180.0,top
C9,38.01,-71.96,90.0,top
D1,43.0,-8.5,180.0,top
D2,46.0,-1.75,270.0,top
D3,41.35025,-74.025,0.0,top
D4,70.8,-10.675,0.0,top
D5,113.9955,-65.35,0.0,bottom
D7,49.0,-1.75,270.0,top
J1,60.0,-3.6,180.0,top
J2,6.0,-74.5,180.0,top
J3,5.5,-6.1,90.0,top
J4,5.5,-34.0,90.0,top
J5,114.0,-74.5,180.0,top
J6,114.5,-14.0,270.0,top
L1,51.1,-14.63,180.0,top
L2,20.38,-15.77,0.0,top
Q1,33.5,-11.364,0.0,top
Q2,24.38,-9.43,180.0,top
R1,62.68,-8.5,180.0,top
R10,76.075,-11.425,0.0,top
R11,83.075,-8.5,0.0,top
R12,98.075,-8.5,0.0,top
R13,44.97,-15.24,0.0,top
R14,28.38,-13.82,0.0,top
R15_2,37.69,-15.52,0.0,top
R15,33.54,-13.82,180.0,top
R16,28.38,-12.12,180.0,top
R17,28.38,-10.42,0.0,top
R18,48.99,-4.84,90.0,top
R19,37.69,-18.92,180.0,top
R2,58.32,-8.5,0.0,top
R20,66.98,-2.68,0.0,top
R21_2,37.69,-17.22,0.0,top
R21,37.69,-8.72,180.0,top
R22,37.69,-10.42,180.0,top
R23,37.69,-13.82,180.0,top
R24,37.69,-12.12,0.0,top
R25,20.38,-13.82,180.0,top
R26,28.38,-8.72,180.0,top
R28,20.38,-12.12,180.0,top
R3,46.0,-4.84,90.0,top
R4,72.5,-2.75,180.0,top
R5,47.0,-19.97,90.0,top
R6,20.15,-43.68,0.0,top
R7,33.975,-70.325,180.0,top
R8,118.0,-68.225,90.0,top
R9,110.025,-18.825,270.0,top
SW1,44.225,-21.225,270.0,top
SW2,40.0,-4.075,180.0,top
SW3,80.0,-4.075,180.0,top
SW4,95.0,-4.075,180.0,top
SW5,27.5,-2.885034,180.0,top
TV1,60.51,-12.0,0.0,top
U1,59.95,-26.2055,180.0,top
U10,51.25,-12.0,270.0,top
U12,23.97,-20.24,270.0,top
U2,26.94,-39.57,180.0,top
U3,35.0,-30.0,180.0,top
U4,85.0,-30.0,180.0,top
U5,33.95,-74.025,90.0,top
U6,42.98,-11.52,0.0,top
U7,33.73,-17.92,0.0,top
U8,24.3675,-14.121,0.0,top
U9,52.0,-8.5,180.0,top
VR1,18.55,-70.825,180.0,top
VR2,54.12,-70.825,180.0,top
VR3,76.5,-70.825,180.0,top
VR4,113.0,-29.797,180.0,top
VR5,113.0,-55.425,180.0,top
VR6,7.0,-17.225,180.0,top
VR7,7.0,-45.225,180.0,top
